"species","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","area_open","area_closed"
"Korthalsia scortechinii Becc.",1,0,"closed","closed","closed",0,1
"Pinanga minuta Furtado",1,0,"closed","closed","closed",0,1
"Pinanga variegata Becc.",0.86,0.14,"closed","closed","closed",0,1
"Areca whitfordii Becc.",1,0,"closed","closed","closed",0,1
"Areca jugahpunya J.Dransf.",1,0,"closed","closed","closed",0,1
"Daemonorops acehensis Rustiami",1,0,"closed","closed","closed",0,1
"Calamus dasyacanthus W.J.Baker, Bayton, J.Dransf. & Maturb.",1,0,"closed","closed","closed",0,1
"Calamus filispadix Becc.",1,0,"closed","closed","closed",0,1
"Rhapis subtilis Becc.",0.82,0.18,"closed","closed","closed",0,1
"Areca dayung J.Dransf.",1,0,"closed","closed","closed",0,1
"Calamus viminalis Willd.",0.96,0.04,"closed","closed","closed",0,1
"Daemonorops oblata J.Dransf.",1,0,"closed","closed","closed",0,1
"Pinanga dumetosa J.Dransf.",1,0,"closed","closed","closed",0,1
"Pinanga speciosa Becc.",1,0,"closed","closed","closed",0,1
"Calamus boniensis Becc. ex K.Heyne",1,0,"closed","closed","closed",0,1
"Calamus erectus Roxb.",0.85,0.15,"closed","closed","closed",0,1
"Hydriastele lurida (Becc.) W.J.Baker & Loo",0.89,0.11,"closed","closed","closed",0,1
"Dypsis angusta Jum.",1,0,"closed","closed","closed",0,1
"Licuala distans Ridl.",0.33,0.67,"open","open","open",1,1
"Hydriastele microcarpa (Scheff.) W.J.Baker & Loo",1,0,"closed","closed","closed",0,1
"Salacca clemensiana Becc.",0.8,0.2,"closed","closed","closed",0,1
"Calyptrocalyx lauterbachianus Warb. ex Becc.",0.89,0.11,"closed","closed","closed",0,1
"Pinanga sessilifolia Furtado",1,0,"closed","closed","closed",0,1
"Hydriastele gibbsiana (Becc.) W.J.Baker & Loo",1,0,"closed","closed","closed",0,1
"Calamus adspersus Blume",1,0,"closed","closed","closed",0,1
"Calamus vestitus Becc.",0.92,0.08,"closed","closed","closed",0,1
"Leopoldinia piassaba Wallace",0.95,0.05,"closed","closed","closed",0,1
"Dypsis soanieranae Beentje",1,0,"closed","closed","closed",0,1
"Orania gagavu Essig",1,0,"closed","closed","closed",0,1
"Sclerosperma profizianum Valk. & Sunderl.",0.57,0.43,"closed","open","closed",1,1
"Areca brachypoda J.Dransf.",0.5,0.5,"closed","open","closed",1,1
"Salacca glabrescens Griff.",1,0,"closed","closed","closed",0,1
"Calyptrocalyx hollrungii (Becc.) Dowe & M.D.Ferrero",1,0,"closed","closed","closed",0,1
"Pinanga sibuyanensis Becc.",1,0,"closed","closed","closed",0,1
"Korthalsia debilis Blume",1,0,"closed","closed","closed",0,1
"Calamus ovoideus Thwaites ex Trimen",1,0,"closed","closed","closed",0,1
"Desmoncus giganteus A.J.Hend.",1,0,"closed","closed","closed",0,1
"Nenga grandiflora Fernando",1,0,"closed","closed","closed",0,1
"Calamus brevifolius Becc.",1,0,"closed","closed","closed",0,1
"Heterospathe philippinensis (Becc.) Becc.",1,0,"closed","closed","closed",0,1
"Licuala graminifolia Heatubun & Barfod",1,0,"closed","closed","closed",0,1
"Calamus hispidulus Becc.",1,0,"closed","closed","closed",0,1
"Daemonorops draco (Willd.) Blume",0.8,0.2,"closed","closed","closed",0,1
"Cyrtostachys barbata Heatubun",1,0,"closed","closed","closed",0,1
"Arenga obtusifolia Mart.",0.89,0.11,"closed","closed","closed",0,1
"Areca arundinacea Becc.",1,0,"closed","closed","closed",0,1
"Daemonorops palembanica Blume",1,0,"closed","closed","closed",0,1
"Pinanga tomentella Becc.",1,0,"closed","closed","closed",0,1
"Calamus concinnus Mart.",0.86,0.14,"closed","closed","closed",0,1
"Arenga plicata Mogea",1,0,"closed","closed","closed",0,1
"Calamus dimorphacanthus Becc.",1,0,"closed","closed","closed",0,1
"Korthalsia junghuhnii Miq.",1,0,"closed","closed","closed",0,1
"Daemonorops lewisiana (Griff.) Mart.",0.88,0.12,"closed","closed","closed",0,1
"Calamus depauperatus Ridl.",1,0,"closed","closed","closed",0,1
"Iguanura curvata Kiew",1,0,"closed","closed","closed",0,1
"Calamus convallium J.Dransf.",0.74,0.26,"closed","closed","closed",1,1
"Calamus viridispinus Becc.",1,0,"closed","closed","closed",0,1
"Pinanga pachyphylla J.Dransf.",0.75,0.25,"closed","closed","closed",0,1
"Calamus koordersianus Becc.",1,0,"closed","closed","closed",0,1
"Basselinia eriostachys (Brongn.) Becc.",1,0,"closed","closed","closed",0,1
"Sabal rosei (O.F.Cook) Becc.",0.96,0.04,"closed","closed","closed",0,1
"Pritchardia waialealeana Read",1,0,"closed","closed","closed",0,1
"Arenga micrantha C.F.Wei",1,0,"closed","closed","closed",0,1
"Hyophorbe amaricaulis Mart.",0.8,0.2,"closed","closed","closed",0,1
"Salacca rupicola J.Dransf.",1,0,"closed","closed","closed",0,1
"Rhapis micrantha Becc.",1,0,"closed","closed","closed",0,1
"Calamus albus Pers.",1,0,"closed","closed","closed",0,1
"Calamus inops Becc. ex K.Heyne",1,0,"closed","closed","closed",0,1
"Calamus acanthophyllus Becc.",1,0,"closed","closed","closed",0,1
"Calamus reticulatus Burret",1,0,"closed","closed","closed",0,1
"Licuala bacularia Becc.",1,0,"closed","closed","closed",0,1
"Calamus symphysipus Mart.",1,0,"closed","closed","closed",0,1
"Daemonorops pumila Van Valk.",1,0,"closed","closed","closed",0,1
"Salacca magnifica Mogea",1,0,"closed","closed","closed",0,1
"Calamus endauensis J.Dransf.",1,0,"closed","closed","closed",0,1
"Dypsis coriacea Beentje",1,0,"closed","closed","closed",0,1
"Calamus anomalus Burret",1,0,"closed","closed","closed",0,1
"Licuala montana Dammer & K.Schum.",0.92,0.08,"closed","closed","closed",0,1
"Pinanga ridleyana Becc. ex Furtado",1,0,"closed","closed","closed",0,1
"Salacca dransfieldiana Mogea",1,0,"closed","closed","closed",0,1
"Korthalsia zippelii Blume",0.97,0.03,"closed","closed","closed",0,1
"Pinanga adangensis Ridl.",1,0,"closed","closed","closed",0,1
"Heterospathe barfodii L.M.Gardiner & W.J.Baker",1,0,"closed","closed","closed",0,1
"Daemonorops asteracantha Becc.",1,0,"closed","closed","closed",0,1
"Hydriastele longispatha (Becc.) W.J.Baker & Loo",1,0,"closed","closed","closed",0,1
"Nenga pumila (Blume) H.Wendl.",0.85,0.15,"closed","closed","closed",0,1
"Clinosperma bracteale (Brongn.) Becc.",1,0,"closed","closed","closed",0,1
"Oncosperma tigillarium (Jack) Ridl.",0.75,0.25,"closed","closed","closed",0,1
"Plectocomia longistigma Madulid",1,0,"closed","closed","closed",0,1
"Calamus altiscandens Burret",1,0,"closed","closed","closed",0,1
"Daemonorops geniculata (Griff.) Mart.",1,0,"closed","closed","closed",0,1
"Daemonorops unijuga J.Dransf.",1,0,"closed","closed","closed",0,1
"Iguanura borneensis Scheff.",1,0,"closed","closed","closed",0,1
"Calamus macrosphaerion Becc.",1,0,"closed","closed","closed",0,1
"Calamus merrillii Becc.",1,0,"closed","closed","closed",0,1
"Pinanga malaiana (Mart.) Scheff.",0.98,0.02,"closed","closed","closed",0,1
"Licuala mustapana Saw",1,0,"closed","closed","closed",0,1
"Daemonorops macroptera (Miq.) Becc.",1,0,"closed","closed","closed",0,1
"Phytelephas tenuicaulis (Barfod) A.J.Hend.",1,0,"closed","closed","closed",0,1
"Hydriastele manusii (Essig) W.J.Baker & Loo",1,0,"closed","closed","closed",0,1
"Eremospatha barendii Sunderl.",1,0,"closed","closed","closed",0,1
"Ravenea hildebrandtii H.Wendl. ex C.D.Bouché",0.88,0.12,"closed","closed","closed",0,1
"Heterospathe sphaerocarpa Burret",0.83,0.17,"closed","closed","closed",0,1
"Heterospathe pullenii M.S.Trudgen & W.J.Baker",1,0,"closed","closed","closed",0,1
"Calamus ashtonii J.Dransf.",1,0,"closed","closed","closed",0,1
"Daemonorops mogeana Rustiami",1,0,"closed","closed","closed",0,1
"Daemonorops gracilipes (Miq.) Becc.",1,0,"closed","closed","closed",0,1
"Korthalsia concolor Burret",1,0,"closed","closed","closed",0,1
"Korthalsia furcata Becc.",1,0,"closed","closed","closed",0,1
"Salacca flabellata Furtado",1,0,"closed","closed","closed",0,1
"Eugeissona brachystachys Ridl.",1,0,"closed","closed","closed",0,1
"Daemonorops oligophylla Becc.",1,0,"closed","closed","closed",0,1
"Calamus exilis Griff.",1,0,"closed","closed","closed",0,1
"Gaussia gomez-pompae (H.J.Quero) H.J.Quero",1,0,"closed","closed","closed",0,1
"Raphia australis Oberm. & Strey",0.63,0.37,"closed","closed","closed",1,1
"Bactris hatschbachii Noblick ex A.J.Hend.",0.89,0.11,"closed","closed","closed",0,1
"Dypsis utilis (Jum.) Beentje & J.Dransf.",1,0,"closed","closed","closed",0,1
"Satakentia liukiuensis (Hatus.) H.E.Moore",1,0,"closed","closed","closed",0,1
"Pinanga densiflora Becc.",1,0,"closed","closed","closed",0,1
"Pholidocarpus majadum Becc.",0.87,0.13,"closed","closed","closed",0,1
"Licuala parviflora Dammer ex Becc.",1,0,"closed","closed","closed",0,1
"Licuala triphylla Griff.",0.93,0.07,"closed","closed","closed",0,1
"Calamus fimbriatus Van Valk.",1,0,"closed","closed","closed",0,1
"Calamus orthostachyus Furtado",1,0,"closed","closed","closed",0,1
"Johannesteijsmannia lanceolata J.Dransf.",1,0,"closed","closed","closed",0,1
"Calamus comptus J.Dransf.",0.86,0.14,"closed","closed","closed",0,1
"Licuala bintulensis Becc.",1,0,"closed","closed","closed",0,1
"Pinanga chaiana J.Dransf.",1,0,"closed","closed","closed",0,1
"Areca laosensis Becc.",1,0,"closed","closed","closed",0,1
"Calamus trachycoleus Becc.",1,0,"closed","closed","closed",0,1
"Pinanga crassipes Becc.",1,0,"closed","closed","closed",0,1
"Pholidocarpus macrocarpus Becc.",1,0,"closed","closed","closed",0,1
"Medemia argun (Mart.) Württemb. ex H.Wendl.",0,1,"open","open","open",1,0
"Heterospathe macgregorii (Becc.) H.E.Moore",0.86,0.14,"closed","closed","closed",0,1
"Iguanura prolifera Kiew",1,0,"closed","closed","closed",0,1
"Calamus manan Miq.",0.94,0.06,"closed","closed","closed",0,1
"Hydriastele moluccana (Becc.) W.J.Baker & Loo",1,0,"closed","closed","closed",0,1
"Orania palindan (Blanco) Merr.",0.95,0.05,"closed","closed","closed",0,1
"Calamus essigii W.J.Baker",1,0,"closed","closed","closed",0,1
"Chamaedorea glaucifolia H.Wendl.",0.91,0.09,"closed","closed","closed",0,1
"Korthalsia hispida Becc.",0.95,0.05,"closed","closed","closed",0,1
"Heterospathe compsoclada (Burret) Heatubun",1,0,"closed","closed","closed",0,1
"Calamus mattanensis Becc.",1,0,"closed","closed","closed",0,1
"Calamus rugosus Becc.",1,0,"closed","closed","closed",0,1
"Pinanga javana Blume",1,0,"closed","closed","closed",0,1
"Heterospathe kajewskii Burret",1,0,"closed","closed","closed",0,1
"Daemonorops acamptostachys Becc.",1,0,"closed","closed","closed",0,1
"Geonoma lanata A.J.Hend., Borchs. & Balslev",0.94,0.06,"closed","closed","closed",0,1
"Calamus nannostachys Burret",1,0,"closed","closed","closed",0,1
"Licuala intermedia Saw",1,0,"closed","closed","closed",0,1
"Daemonorops uschdraweitiana Burret",1,0,"closed","closed","closed",0,1
"Wettinia fascicularis (Burret) H.E.Moore & J.Dransf.",1,0,"closed","closed","closed",0,1
"Areca subacaulis (Becc.) J.Dransf.",0.8,0.2,"closed","closed","closed",0,1
"Pinanga disticha Blume",1,0,"closed","closed","closed",0,1
"Calamus benkulensis Becc.",1,0,"closed","closed","closed",0,1
"Dypsis crinita (Jum. & H.Perrier) Beentje & J.Dransf.",1,0,"closed","closed","closed",0,1
"Ceratolobus pseudoconcolor J.Dransf.",1,0,"closed","closed","closed",0,1
"Calamus spectatissimus Furtado",1,0,"closed","closed","closed",0,1
"Calamus brassii Burret",1,0,"closed","closed","closed",0,1
"Licuala reptans Becc.",1,0,"closed","closed","closed",0,1
"Calamus minutus J.Dransf.",1,0,"closed","closed","closed",0,1
"Hydriastele hombronii (Becc.) W.J.Baker & Loo",1,0,"closed","closed","closed",0,1
"Plectocomia pygmaea Madulid",1,0,"closed","closed","closed",0,1
"Aiphanes macroloba Burret",1,0,"closed","closed","closed",0,1
"Daemonorops urdanetana Becc.",1,0,"closed","closed","closed",0,1
"Plectocomiopsis corneri Furtado",0.75,0.25,"closed","closed","closed",0,1
"Pigafetta elata (Mart.) H.Wendl.",1,0,"closed","closed","closed",0,1
"Attalea humilis Mart. ex Spreng.",0.96,0.04,"closed","closed","closed",0,1
"Cyphosperma balansae (Brongn.) H.Wendl. ex Salomon",1,0,"closed","closed","closed",0,1
"Calamus discolor Mart.",1,0,"closed","closed","closed",0,1
"Calamus microsphaerion Becc.",1,0,"closed","closed","closed",0,1
"Calamus karuensis Ridl.",1,0,"closed","closed","closed",0,1
"Wettinia minima R.Bernal",1,0,"closed","closed","closed",0,1
"Licuala collina Saw",1,0,"closed","closed","closed",0,1
"Pinanga rumphiana (Mart.) J.Dransf. & Govaerts",0.96,0.04,"closed","closed","closed",0,1
"Pritchardia maideniana Becc.",0.78,0.22,"closed","closed","closed",0,1
"Tahina spectabilis J.Dransf. & Rakotoarin.",0.67,0.33,"closed","closed","closed",1,1
"Cyphophoenix alba (H.E.Moore) Pintaud & W.J.Baker",1,0,"closed","closed","closed",0,1
"Calamus spectabilis Blume",1,0,"closed","closed","closed",0,1
"Pholidocarpus sumatranus Becc.",1,0,"closed","closed","closed",0,1
"Kerriodoxa elegans J.Dransf.",0.64,0.36,"closed","closed","closed",1,1
"Heterospathe elmeri Becc.",1,0,"closed","closed","closed",0,1
"Licuala lanata J.Dransf.",1,0,"closed","closed","closed",0,1
"Licuala cameronensis Saw",1,0,"closed","closed","closed",0,1
"Geonoma paradoxa Burret",0.91,0.09,"closed","closed","closed",0,1
"Calamus rhomboideus Blume",1,0,"closed","closed","closed",0,1
"Licuala campestris Saw",0.89,0.11,"closed","closed","closed",0,1
"Calamus tenuis Roxb.",1,0,"closed","closed","closed",0,1
"Licuala urciflora Barfod & Heatubun",1,0,"closed","closed","closed",0,1
"Raphia laurentii De Wild.",0.73,0.27,"closed","closed","closed",1,1
"Prestoea longepetiolata (Oerst.) H.E.Moore",1,0,"closed","closed","closed",0,1
"Pseudophoenix vinifera (Mart.) Becc.",0.94,0.06,"closed","closed","closed",0,1
"Chamaedorea vulgata Standl. & Steyerm.",1,0,"closed","closed","closed",0,1
"Copernicia rigida Britton & P.Wilson",0.8,0.2,"closed","closed","closed",0,1
"Pinanga subruminata Becc.",1,0,"closed","closed","closed",0,1
"Calamus winklerianus Becc.",1,0,"closed","closed","closed",0,1
"Salacca sarawakensis Mogea",0.67,0.33,"closed","closed","closed",1,1
"Calamus papuanus Becc.",0.92,0.08,"closed","closed","closed",0,1
"Calamus mogeae J.Dransf.",1,0,"closed","closed","closed",0,1
"Dypsis thiryana (Becc.) Beentje & J.Dransf.",1,0,"closed","closed","closed",0,1
"Dypsis confusa Beentje",1,0,"closed","closed","closed",0,1
"Orania parva Essig",1,0,"closed","closed","closed",0,1
"Korthalsia brassii Burret",1,0,"closed","closed","closed",0,1
"Dypsis linearis Jum.",1,0,"closed","closed","closed",0,1
"Calamus equestris Willd.",1,0,"closed","closed","closed",0,1
"Clinostigma samoense H.Wendl.",1,0,"closed","closed","closed",0,1
"Colpothrinax aphanopetala R.Evans",1,0,"closed","closed","closed",0,1
"Asterogyne ramosa (H.E.Moore) Wess.Boer",1,0,"closed","closed","closed",0,1
"Daemonorops banggiensis J.Dransf.",1,0,"closed","closed","closed",0,1
"Pinanga trichoneura Becc.",1,0,"closed","closed","closed",0,1
"Calamus leloi J.Dransf.",0.95,0.05,"closed","closed","closed",0,1
"Pinanga rupestris J.Dransf.",0,1,"open","open","open",1,0
"Plectocomia lorzingii Madulid",1,0,"closed","closed","closed",0,1
"Licuala modesta Becc.",1,0,"closed","closed","closed",0,1
"Cyrtostachys elegans Burret",1,0,"closed","closed","closed",0,1
"Dypsis brevicaulis (Guillaumet) Beentje & J.Dransf.",1,0,"closed","closed","closed",0,1
"Calamus holttumii Furtado",1,0,"closed","closed","closed",0,1
"Pogonotium divaricatum J.Dransf.",1,0,"closed","closed","closed",0,1
"Physokentia avia H.E.Moore",1,0,"closed","closed","closed",0,1
"Ptychosperma pullenii Essig",0.67,0.33,"closed","closed","closed",1,1
"Pinanga subintegra Ridl.",1,0,"closed","closed","closed",0,1
"Pinanga urdanetensis Becc.",1,0,"closed","closed","closed",0,1
"Iguanura myochodoides Kiew",1,0,"closed","closed","closed",0,1
"Calamus polycladus Burret",1,0,"closed","closed","closed",0,1
"Livistona exigua J.Dransf.",1,0,"closed","closed","closed",0,1
"Heterospathe sibuyanensis Becc.",1,0,"closed","closed","closed",0,1
"Iguanura palmuncula Becc.",1,0,"closed","closed","closed",0,1
"Areca tunku J.Dransf. & C.K.Lim",1,0,"closed","closed","closed",0,1
"Heterospathe ramulosa Burret",1,0,"closed","closed","closed",0,1
"Licuala beccariana (K.Schum. & Lauterb.) Furtado",1,0,"closed","closed","closed",0,1
"Calamus luridus Becc.",1,0,"closed","closed","closed",0,1
"Calamus pygmaeus Becc.",1,0,"closed","closed","closed",0,1
"Pinanga cleistantha J.Dransf.",1,0,"closed","closed","closed",0,1
"Daemonorops pachyrostris Becc.",1,0,"closed","closed","closed",0,1
"Daemonorops scapigera Becc.",1,0,"closed","closed","closed",0,1
"Daemonorops oligolepis Becc.",1,0,"closed","closed","closed",0,1
"Arenga hastata (Becc.) Whitmore",1,0,"closed","closed","closed",0,1
"Areca klingkangensis J.Dransf.",1,0,"closed","closed","closed",0,1
"Calamus moseleyanus Becc.",1,0,"closed","closed","closed",0,1
"Salacca secunda Griff.",0.89,0.11,"closed","closed","closed",0,1
"Livistona jenkinsiana Griff.",0.97,0.03,"closed","closed","closed",0,1
"Calamus pycnocarpus (Furtado) J.Dransf.",1,0,"closed","closed","closed",0,1
"Areca chaiana J.Dransf.",1,0,"closed","closed","closed",0,1
"Orania paraguanensis Becc.",1,0,"closed","closed","closed",0,1
"Arenga ryukyuensis A.J.Hend.",1,0,"closed","closed","closed",0,1
"Calamus bimaniferus T.Evans et al.",1,0,"closed","closed","closed",0,1
"Daemonorops binnendijkii Becc.",1,0,"closed","closed","closed",0,1
"Daemonorops lamprolepis Becc.",1,0,"closed","closed","closed",0,1
"Caryota monostachya Becc.",1,0,"closed","closed","closed",0,1
"Aiphanes simplex Burret",0.97,0.03,"closed","closed","closed",0,1
"Brahea sarukhanii H.J.Quero",0.88,0.12,"closed","closed","closed",0,1
"Burretiokentia hapala H.E.Moore",0.92,0.08,"closed","closed","closed",0,1
"Sabal pumos (Kunth) Burret",0.75,0.25,"closed","closed","closed",0,1
"Pinanga quadrijuga Gagnep.",0.83,0.17,"closed","closed","closed",0,1
"Ptychosperma cuneatum (Burret) Burret",1,0,"closed","closed","closed",0,1
"Pinanga rigida Becc.",1,0,"closed","closed","closed",0,1
"Wettinia radiata (O.F.Cook & Doyle) R.Bernal",0.95,0.05,"closed","closed","closed",0,1
"Wettinia quinaria (O.F.Cook & Doyle) Burret",0.91,0.09,"closed","closed","closed",0,1
"Aiphanes gelatinosa H.E.Moore",1,0,"closed","closed","closed",0,1
"Aiphanes linearis Burret",1,0,"closed","closed","closed",0,1
"Bactris fissifrons Mart.",1,0,"closed","closed","closed",0,1
"Attalea colenda (O.F.Cook) Balslev & A.J.Hend.",0.89,0.11,"closed","closed","closed",0,1
"Attalea amygdalina Kunth",1,0,"closed","closed","closed",0,1
"Mauritiella macroclada (Burret) Burret",0.88,0.12,"closed","closed","closed",0,1
"Aiphanes acaulis Galeano & R.Bernal",1,0,"closed","closed","closed",0,1
"Aiphanes lindeniana (H.Wendl.) H.Wendl.",0.98,0.02,"closed","closed","closed",0,1
"Socratea hecatonandra (Dugand) R.Bernal",1,0,"closed","closed","closed",0,1
"Hyospathe frontinensis A.J.Hend.",1,0,"closed","closed","closed",0,1
"Bactris barronis L.H.Bailey",0.92,0.08,"closed","closed","closed",0,1
"Socratea rostrata Burret",1,0,"closed","closed","closed",0,1
"Attalea cuatrecasana (Dugand) A.J.Hend. et al.",0.86,0.14,"closed","closed","closed",0,1
"Pholidostachys dactyloides H.E.Moore",0.98,0.02,"closed","closed","closed",0,1
"Cryosophila kalbreyeri (Dammer ex Burret) Dahlgren",0.83,0.17,"closed","closed","closed",0,1
"Chamaedorea allenii L.H.Bailey",0.96,0.04,"closed","closed","closed",0,1
"Euterpe luminosa A.J.Hend., Galeano & Meza",1,0,"closed","closed","closed",0,1
"Attalea nucifera H.Karst.",1,0,"closed","closed","closed",0,1
"Geonoma lehmannii Dammer ex Burret",1,0,"closed","closed","closed",0,1
"Aiphanes parvifolia Burret",1,0,"closed","closed","closed",0,1
"Aiphanes hirsuta Burret",0.98,0.02,"closed","closed","closed",0,1
"Chelyocarpus dianeurus (Burret) H.E.Moore",0.93,0.07,"closed","closed","closed",0,1
"Oenocarpus circumtextus Mart.",1,0,"closed","closed","closed",0,1
"Desmoncus cirrhifer A.H.Gentry & Zardini",0.93,0.07,"closed","closed","closed",0,1
"Geonoma ferruginea H.Wendl. ex Spruce",0.89,0.11,"closed","closed","closed",0,1
"Ceroxylon ventricosum Burret",0.97,0.03,"closed","closed","closed",0,1
"Geonoma triandra (Burret) Wess.Boer",1,0,"closed","closed","closed",0,1
"Geonoma divisa H.E.Moore",0.93,0.07,"closed","closed","closed",0,1
"Wettinia hirsuta Burret",0.95,0.05,"closed","closed","closed",0,1
"Astrocaryum ciliatum F.Kahn & B.Millán",1,0,"closed","closed","closed",0,1
"Wettinia castanea H.E.Moore & J.Dransf.",1,0,"closed","closed","closed",0,1
"Bactris charnleyae de Nevers, A.J.Hend. & Grayum",1,0,"closed","closed","closed",0,1
"Mauritia carana Wallace",1,0,"closed","closed","closed",0,1
"Attalea luetzelburgii (Burret) Wess.Boer",0.9,0.1,"closed","closed","closed",0,1
"Astrocaryum malybo H.Karst.",0.96,0.04,"closed","closed","closed",0,1
"Socratea montana R.Bernal & A.J.Hend.",1,0,"closed","closed","closed",0,1
"Prestoea carderi (W.Bull) Hook.f.",1,0,"closed","closed","closed",0,1
"Attalea allenii H.E.Moore",1,0,"closed","closed","closed",0,1
"Prestoea simplicifolia Galeano",1,0,"closed","closed","closed",0,1
"Ceroxylon peruvianum Galeano, Sanín & K.Mejia",1,0,"closed","closed","closed",0,1
"Bactris halmoorei A.J.Hend.",1,0,"closed","closed","closed",0,1
"Astrocaryum triandrum Galeano, R.Bernal & F.Kahn",1,0,"closed","closed","closed",0,1
"Bactris glandulosa Oerst.",1,0,"closed","closed","closed",0,1
"Geonoma brongniartii Mart.",0.99,0.01,"closed","closed","closed",0,1
"Attalea racemosa Spruce",0.91,0.09,"closed","closed","closed",0,1
"Geonoma laxiflora Mart.",1,0,"closed","closed","closed",0,1
"Wettinia verruculosa H.E.Moore",1,0,"closed","closed","closed",0,1
"Wettinia disticha (R.Bernal) R.Bernal",1,0,"closed","closed","closed",0,1
"Geonoma oligoclona Trail",1,0,"closed","closed","closed",0,1
"Phytelephas tumacana O.F.Cook",1,0,"closed","closed","closed",0,1
"Geonoma chlamydostachys Galeano",1,0,"closed","closed","closed",0,1
"Calyptrogyne costatifrons (L.H.Bailey) de Nevers",1,0,"closed","closed","closed",0,1
"Aiphanes spicata Borchs. & R.Bernal",1,0,"closed","closed","closed",0,1
"Cryosophila macrocarpa R.J.Evans",1,0,"closed","closed","closed",0,1
"Mauritiella pumila (Wallace) Burret",1,0,"closed","closed","closed",0,1
"Geonoma frontinensis Burret",1,0,"closed","closed","closed",0,1
"Oenocarpus makeru R.Bernal, Galeano & A.J.Hend.",1,0,"closed","closed","closed",0,1
"Manicaria martiana Burret",1,0,"closed","closed","closed",0,1
"Wettinia lanata R.Bernal",1,0,"closed","closed","closed",0,1
"Chamaedorea subjectifolia Hodel",1,0,"closed","closed","closed",0,1
"Wettinia anomala (Burret) R.Bernal",1,0,"closed","closed","closed",0,1
"Aiphanes duquei Burret",1,0,"closed","closed","closed",0,1
"Colpothrinax cookii Read",0.96,0.04,"closed","closed","closed",0,1
"Prestoea pubens H.E.Moore",1,0,"closed","closed","closed",0,1
"Syagrus smithii (H.E.Moore) Glassman",1,0,"closed","closed","closed",0,1
"Chamaedorea ricardoi R.Bernal, Galeano & Hodel",1,0,"closed","closed","closed",0,1
"Attalea crassispatha (Mart.) Burret",1,0,"closed","closed","closed",0,1
"Ceroxylon amazonicum Galeano",1,0,"closed","closed","closed",0,1
"Desmoncus setosus Mart.",1,0,"closed","closed","closed",0,1
"Pholidostachys kalbreyeri H.Wendl. ex Burret",0.86,0.14,"closed","closed","closed",0,1
"Ravenea albicans (Jum.) Beentje",1,0,"closed","closed","closed",0,1
"Pelagodoxa henryana Becc.",1,0,"closed","closed","closed",0,1
"Juania australis (Mart.) Drude ex Hook.f.",1,0,"closed","closed","closed",0,1
"Calamus nielsenii J.Dransf.",1,0,"closed","closed","closed",0,1
"Saribus chocolatinus (Dowe) Bacon & W.J.Baker",1,0,"closed","closed","closed",0,1
"Phytelephas schottii H.Wendl.",1,0,"closed","closed","closed",0,1
"Aiphanes weberbaueri Burret",1,0,"closed","closed","closed",0,1
"Aiphanes eggersii Burret",0.91,0.09,"closed","closed","closed",0,1
"Daemonorops fissilis (A.J.Hend., N.K.Ban & N.Q.Dung) A.J.Hend.",1,0,"closed","closed","closed",0,1
"Saribus brevifolius (Dowe & Mogea) Bacon & W.J.Baker",1,0,"closed","closed","closed",0,1
"Licuala malajana Becc.",1,0,"closed","closed","closed",0,1
"Bactris setiflora Burret",1,0,"closed","closed","closed",0,1
"Ravenea lakatra (Jum.) Beentje",1,0,"closed","closed","closed",0,1
"Licuala mattanensis Becc.",1,0,"closed","closed","closed",0,1
"Calyptrogyne fortunensis A.J.Hend.",1,0,"closed","closed","closed",0,1
"Cryosophila williamsii P.H.Allen",1,0,"closed","closed","closed",0,1
"Chamaedorea christinae Hodel",0.67,0.33,"closed","closed","closed",1,1
"Geonoma hugonis Grayum & de Nevers",1,0,"closed","closed","closed",0,1
"Rhapis puhuongensis M.S.Trudgen, T.P.Anh & A.J.Hend.",1,0,"closed","closed","closed",0,1
"Calamus henryanus Becc.",1,0,"closed","closed","closed",0,1
"Ptychosperma macarthurii H.Wendl.",1,0,"closed","closed","closed",0,1
"Wallichia gracilis Becc.",1,0,"closed","closed","closed",0,1
"Daemonorops sarasinorum Warb. ex Becc.",1,0,"closed","closed","closed",0,1
"Dypsis dransfieldii Beentje",1,0,"closed","closed","closed",0,1
"Livistona endauensis J.Dransf. & K.M.Wong",1,0,"closed","closed","closed",0,1
"Borassus heineanus Becc.",1,0,"closed","closed","closed",0,1
"Licuala linearis Burret",1,0,"closed","closed","closed",0,1
"Licuala poonsakii Hodel",1,0,"closed","closed","closed",0,1
"Geonoma hollinensis A.J.Hend., Borchs. & Balslev",1,0,"closed","closed","closed",0,1
"Astrocaryum chonta Mart.",1,0,"closed","closed","closed",0,1
"Hydriastele brassii (Burret) W.J.Baker & Loo",1,0,"closed","closed","closed",0,1
"Hydriastele biakensis W.J.Baker & Heatubun",1,0,"closed","closed","closed",0,1
"Calyptrocalyx doxanthus Dowe & M.D.Ferrero",1,0,"closed","closed","closed",0,1
"Geonoma aspidiifolia Spruce",1,0,"closed","closed","closed",0,1
"Calamus elopurensis J.Dransf.",0.73,0.27,"closed","closed","closed",1,1
"Attalea cephalotus Poepp. ex Mart.",1,0,"closed","closed","closed",0,1
"Astrocaryum gratum F.Kahn & B.Millán",0.94,0.06,"closed","closed","closed",0,1
