"genera","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","area_open","area_closed"
"Salvia nepetoides Kunth",0.9,0.1,"closed","closed","closed",0,1
"Salvia occidentalis Sw.",0.86,0.14,"closed","closed","closed",0,1
"Solanum anguivi Lam.",0.46,0.54,"open","open","closed",1,1
"Sessea vestita (Hook.) Miers",1,0,"closed","closed","closed",0,1
"Witheringia macrantha (Standl. & Morton) Hunz.",1,0,"closed","closed","closed",0,1
"Cestrum aurantiacum Lindl.",0.98,0.02,"closed","closed","closed",0,1
"Cestrum regelii Planch.",1,0,"closed","closed","closed",0,1
"Solanum incanum L.",0.29,0.71,"open","open","open",1,1
"Jaltomata repandidentata (Dunal) Hunz.",1,0,"closed","closed","closed",0,1
"Lycianthes multiflora Bitter",0.98,0.02,"closed","closed","closed",0,1
"Mimosa ervendbergii A.Gray",1,0,"closed","closed","closed",0,1
"Lycianthes sanctaeclarae (Greenm.) D' Arcy",1,0,"closed","closed","closed",0,1
"Iochroma grandiflorum Benth.",0.94,0.06,"closed","closed","closed",0,1
"Solanum rugosum Dunal",0.95,0.05,"closed","closed","closed",0,1
"Fridericia pubescens (L.) L.G.Lohmann",0.7,0.3,"closed","closed","closed",1,1
"Tetrapleura tetraptera (Schumach. & Thonn.) Taub.",0.74,0.26,"closed","closed","closed",1,1
"Lundia spruceana Bureau",0.98,0.02,"closed","closed","closed",0,1
"Diastema scabrum (Poepp.) Benth. ex Walp.",1,0,"closed","closed","closed",0,1
"Achimenes pedunculata Benth.",1,0,"closed","closed","closed",0,1
"Drymonia parviflora Hanst.",1,0,"closed","closed","closed",0,1
"Drymonia rubra C.V.Morton",1,0,"closed","closed","closed",0,1
"Ruellia tarapotana Lindau",1,0,"closed","closed","closed",0,1
"Ruellia biolleyi Lindau",1,0,"closed","closed","closed",0,1
"Carex molesta Mack.",0.48,0.52,"open","open","closed",1,1
"Peponidium buxifolium (Baker) Razafim., Lantz & B.Bremer",0.86,0.14,"closed","closed","closed",0,1
"Carex macrochaeta C.A.Mey.",0.68,0.32,"closed","closed","closed",1,1
"Sapranthus microcarpus (Donn.Sm.) R.E.Fr.",0.96,0.04,"closed","closed","closed",0,1
"Heterocentron subtriplinervium (Link & Otto) A.Braun & Bouché",1,0,"closed","closed","closed",0,1
"Viburnum edule (Michx.) Raf.",0.84,0.16,"closed","closed","closed",0,1
"Siphocampylus orbignianus A.DC.",0.91,0.09,"closed","closed","closed",0,1
"Burmeistera microphylla Donn.Sm.",1,0,"closed","closed","closed",0,1
"Siphocampylus dependens G.Don",0.93,0.07,"closed","closed","closed",0,1
"Rhabdadenia macrostoma (Benth.) Müll.Arg.",0.93,0.07,"closed","closed","closed",0,1
"Rhabdadenia pohlii Müll.Arg.",0.5,0.5,"closed","open","closed",1,1
"Tabernaemontana macrocalyx Müll.Arg.",0.97,0.03,"closed","closed","closed",0,1
"Chusquea tessellata Munro",0.6,0.4,"closed","closed","closed",1,1
"Echinolaena inflexa (Poir.) Chase",0.4,0.6,"open","open","closed",1,1
"Heliconia vaginalis Benth.",0.95,0.05,"closed","closed","closed",0,1
"Heliconia dielsiana Loes.",1,0,"closed","closed","closed",0,1
"Calliandra pittieri Standl.",0.99,0.01,"closed","closed","closed",0,1
"Demosthenesia mandonii (Britton) A.C.Sm.",0.74,0.26,"closed","closed","closed",1,1
"Ficus citrifolia Mill.",0.82,0.18,"closed","closed","closed",0,1
"Ficus dugandii Standl.",1,0,"closed","closed","closed",0,1
"Ledothamnus guyanensis Meisn.",0.83,0.17,"closed","closed","closed",0,1
"Mimosa polydactyla Humb. & Bonpl. ex Willd.",0.9,0.1,"closed","closed","closed",0,1
"Quercus purulhana Trel.",0.97,0.03,"closed","closed","closed",0,1
"Naucleopsis krukovii (Standl.) C.C.Berg",0.99,0.01,"closed","closed","closed",0,1
"Capsicum geminifolium (Dammer) Hunz.",0.9,0.1,"closed","closed","closed",0,1
"Capsicum rhomboideum (Dunal) Kuntze",0.95,0.05,"closed","closed","closed",0,1
"Capsicum ciliatum (Kunth) Kuntze",0.89,0.11,"closed","closed","closed",0,1
"Eustachys distichophylla (Lag.) Nees",0.43,0.57,"open","open","closed",1,1
"Ficus craterostoma Warb. ex Mildbr. & Burret",0.73,0.27,"closed","closed","closed",1,1
"Zygia coccinea (G.Don) L.Rico",1,0,"closed","closed","closed",0,1
"Zygia coccinea var. oriunda (J.F.Macbr.) Barneby & J.W.Grimes",1,0,"closed","closed","closed",0,1
"Zygia coccinea var. macrophylla (Spruce ex Benth.) Barneby & J.W.Grimes",1,0,"closed","closed","closed",0,1
"Croton jacobinensis Baill.",0.26,0.74,"open","open","open",1,1
"Croton cuneatus Klotzsch",0.93,0.07,"closed","closed","closed",0,1
"Neurolepis elata (Kunth) Pilg.",0.92,0.08,"closed","closed","closed",0,1
"Fusaea longifolia (Aubl.) Saff.",0.98,0.02,"closed","closed","closed",0,1
"Solanum monachophyllum Humb. & Bonpl. ex Dunal",0.68,0.32,"closed","closed","closed",1,1
"Croton sampatik Müll.Arg.",0.94,0.06,"closed","closed","closed",0,1
"Solanum robustum H.Wendl.",0.53,0.47,"closed","open","closed",1,1
"Inga acuminata Benth.",0.93,0.07,"closed","closed","closed",0,1
"Paepalanthus elongatus (Bong.) Körn.",0.22,0.78,"open","open","open",1,0
"Viburnum acutifolium Benth.",1,0,"closed","closed","closed",0,1
"Viburnum lautum C.V.Morton",1,0,"closed","closed","closed",0,1
"Viburnum microphyllum (Oerst.) Hemsl.",1,0,"closed","closed","closed",0,1
"Carex cephalophora Muhl. ex Willd.",0.77,0.23,"closed","closed","closed",0,1
"Matelea inconspicua (Brandegee) Woodson",0.83,0.17,"closed","closed","closed",0,1
"Ravenea dransfieldii Beentje",1,0,"closed","closed","closed",0,1
"Croton reflexifolius Kunth",0.95,0.05,"closed","closed","closed",0,1
"Aristida capillacea Lam.",0.43,0.57,"open","open","closed",1,1
"Inga ruiziana G.Don",0.98,0.02,"closed","closed","closed",0,1
"Inga melinonis Sagot",0.97,0.03,"closed","closed","closed",0,1
"Corythophora alta R.Knuth",0.96,0.04,"closed","closed","closed",0,1
"Arthrostemma ciliatum Pav. ex D.Don",0.98,0.02,"closed","closed","closed",0,1
"Dorstenia choconiana S.Watson",0.93,0.07,"closed","closed","closed",0,1
"Eugenia anastomosans DC.",0.96,0.04,"closed","closed","closed",0,1
"Viburnum hartwegii Benth.",1,0,"closed","closed","closed",0,1
"Myrcia deflexa (Poir.) DC.",0.8,0.2,"closed","closed","closed",0,1
"Brachyotum ledifolium (Desr.) Triana",0.72,0.28,"closed","closed","closed",1,1
"Myrceugenia planipes (Hook. & Arn.) O.Berg",0.97,0.03,"closed","closed","closed",0,1
"Myrcia sylvatica (G.Mey.) DC.",0.81,0.19,"closed","closed","closed",0,1
"Inga auristellae Harms",0.99,0.01,"closed","closed","closed",0,1
"Meriania tomentosa (Cogn.) Wurdack",0.92,0.08,"closed","closed","closed",0,1
"Tabernaemontana amygdalifolia Jacq.",0.85,0.15,"closed","closed","closed",0,1
"Miconia pubipetala Miq.",0.93,0.07,"closed","closed","closed",0,1
"Solanum toliaraea D' Arcy & Rakot.",0.4,0.6,"open","open","closed",1,1
"Miconia dorsiloba Gleason",1,0,"closed","closed","closed",0,1
"Miconia biappendiculata (Naudin) Uribe",0.91,0.09,"closed","closed","closed",0,1
"Achimenes erecta (Lam.) H.P.Fuchs",1,0,"closed","closed","closed",0,1
"Blakea orientalis Gleason",0.88,0.12,"closed","closed","closed",0,1
"Mouriri huberi Cogn.",0.93,0.07,"closed","closed","closed",0,1
"Triolena pileoides (Triana) Wurdack",1,0,"closed","closed","closed",0,1
"Asplundia longitepala Harling",1,0,"closed","closed","closed",0,1
"Monochaetum hartwegianum Naudin",0.97,0.03,"closed","closed","closed",0,1
"Ossaea capillaris (Don) Cogn.",1,0,"closed","closed","closed",0,1
"Prestonia riedelii (Müll.Arg.) Markgr.",0.7,0.3,"closed","closed","closed",1,1
"Trichilia quadrijuga Kunth",0.96,0.04,"closed","closed","closed",0,1
"Eschweilera alvimii S.A.Mori",0.75,0.25,"closed","closed","closed",0,1
"Heliconia imbricata (Kuntze) Baker",1,0,"closed","closed","closed",0,1
"Lecythis corrugata Poit.",0.92,0.08,"closed","closed","closed",0,1
"Paepalanthus schomburgkii Klotzsch ex Körn.",0.67,0.33,"closed","closed","closed",1,1
"Arracacia bracteata J.M.Coult. & Rose",1,0,"closed","closed","closed",0,1
"Siphocampylus tupaeformis Zahlbr.",0.67,0.33,"closed","closed","closed",1,1
"Paspalum denticulatum Trin.",0.29,0.71,"open","open","open",1,1
"Miconia rugosa Triana",1,0,"closed","closed","closed",0,1
"Ludovia integrifolia (Woodson) Harling",0.97,0.03,"closed","closed","closed",0,1
"Glossoloma tetragonum Hanst.",1,0,"closed","closed","closed",0,1
"Miconia molybdea Naudin",0.81,0.19,"closed","closed","closed",0,1
"Croton niveus Jacq.",0.7,0.3,"closed","closed","closed",1,1
"Phoenix reclinata Jacq.",0.44,0.56,"open","open","closed",1,1
"Carex crawei Dewey ex Torr.",0.6,0.4,"closed","closed","closed",1,1
"Cryptolepis oblongifolia (Meisn.) Schltr.",0.09,0.91,"open","open","open",1,0
"Couroupita nicaraguarensis DC.",0.96,0.04,"closed","closed","closed",0,1
"Oenothera filiformis (Small) W.L.Wagner & Hoch",0.47,0.53,"open","open","closed",1,1
"Oenothera perennis L.",0.97,0.03,"closed","closed","closed",0,1
"Protium panamense (Rose) I.M.Johnst.",0.94,0.06,"closed","closed","closed",0,1
"Solanum sessiliflorum Dunal",1,0,"closed","closed","closed",0,1
"Eschweilera amplexifolia S.A.Mori",1,0,"closed","closed","closed",0,1
"Mandevilla callista Woodson",0.97,0.03,"closed","closed","closed",0,1
"Geonoma simplicifrons Willd.",0.78,0.22,"closed","closed","closed",0,1
"Physalis coztomatl Moc. & Sessé ex Dunal",1,0,"closed","closed","closed",0,1
"Cynanchum ligulatum (Benth.) Woodson",0.84,0.16,"closed","closed","closed",0,1
"Croton smithianus Croizat",0.96,0.04,"closed","closed","closed",0,1
"Panicum hirtum Lam.",0.45,0.55,"open","open","closed",1,1
"Unonopsis stipitata Diels",0.99,0.01,"closed","closed","closed",0,1
"Begonia subciliata A.DC.",0.85,0.15,"closed","closed","closed",0,1
"Lepidocaryum tenue Mart.",1,0,"closed","closed","closed",0,1
"Gonolobus xanthotrichus Brandegee",1,0,"closed","closed","closed",0,1
"Arthrostylidium merostachyoides R.W.Pohl",1,0,"closed","closed","closed",0,1
"Festuca breviglumis Swallen",1,0,"closed","closed","closed",0,1
"Muhlenbergia nigra Hitchc.",0.92,0.08,"closed","closed","closed",0,1
"Muhlenbergia virletii (E.Fourn.) Soderstr.",0.8,0.2,"closed","closed","closed",0,1
"Muhlenbergia versicolor Swallen",1,0,"closed","closed","closed",0,1
"Asclepias texana A.Heller",0.4,0.6,"open","open","closed",1,1
"Rhipidocladum racemiflorum (Steud.) McClure",0.92,0.08,"closed","closed","closed",0,1
"Croton draco Schltdl. & Cham.",0.98,0.02,"closed","closed","closed",0,1
"Croton dioicus Cav.",0.17,0.83,"open","open","open",1,0
"Croton heterochrous Müll.Arg.",1,0,"closed","closed","closed",0,1
"Salvia leptostachys Benth.",0.88,0.12,"closed","closed","closed",0,1
"Salvia texana (Scheele) Torr.",0.06,0.94,"open","open","open",1,0
"Cestrum nocturnum L.",0.98,0.02,"closed","closed","closed",0,1
"Plowmania nyctaginoides (Standl.) Hunz. & Subils",0.83,0.17,"closed","closed","closed",0,1
"Centropogon preslii E.Wimm.",0.86,0.14,"closed","closed","closed",0,1
"Blakea litoralis L.O.Williams",0.89,0.11,"closed","closed","closed",0,1
"Solanum evolvulifolium Greenm.",0.97,0.03,"closed","closed","closed",0,1
"Solanum lanceolatum Cav.",0.85,0.15,"closed","closed","closed",0,1
"Solanum pectinatum Dunal",1,0,"closed","closed","closed",0,1
"Quercus mohriana Buckley ex Rydb.",0.24,0.76,"open","open","open",1,0
"Viburnum hondurense Standl.",1,0,"closed","closed","closed",0,1
"Begonia heracleifolia Cham. & Schltdl.",0.98,0.02,"closed","closed","closed",0,1
"Codonanthe luteola Wiehler",1,0,"closed","closed","closed",0,1
"Columnea zebrina Raymond",1,0,"closed","closed","closed",0,1
"Senegalia riparia (Kunth) Britton & Rose",0.72,0.28,"closed","closed","closed",1,1
"Erioneuron nealleyi (Vasey) Tateoka",0.32,0.68,"open","open","open",1,1
"Erioneuron avenaceum (Kunth) Tateoka",0.34,0.66,"open","open","open",1,1
"Croton oerstedianus Müll.Arg.",1,0,"closed","closed","closed",0,1
"Croton lundellii Standl.",1,0,"closed","closed","closed",0,1
"Pappophorum philippianum Parodi",0.06,0.94,"open","open","open",1,0
"Cojoba arborea (L.) Britton & Rose",0.94,0.06,"closed","closed","closed",0,1
"Drymonia pilifera Wiehler",1,0,"closed","closed","closed",0,1
"Gustavia dubia (Kunth) O.Berg",1,0,"closed","closed","closed",0,1
"Mimosa aculeaticarpa Ortega",0.64,0.36,"closed","closed","closed",1,1
"Clidemia petiolaris (Schltdl. & Cham.) Schltdl. ex Triana",0.99,0.01,"closed","closed","closed",0,1
"Piptadenia flava (Spreng. ex DC.) Benth.",0.72,0.28,"closed","closed","closed",1,1
"Piptadenia stipulacea (Benth.) Ducke",0.15,0.85,"open","open","open",1,0
"Conostegia cinnamomea (Beurl.) Wurdack",0.97,0.03,"closed","closed","closed",0,1
"Salvia mexicana L.",0.97,0.03,"closed","closed","closed",0,1
"Monochaetum tenellum Naudin",1,0,"closed","closed","closed",0,1
"Blakea crassifolia Almeda",1,0,"closed","closed","closed",0,1
"Fuchsia cylindracea Lindl.",1,0,"closed","closed","closed",0,1
"Epilobium densiflorum (Lindl.) Hoch & P.H.Raven",0.49,0.51,"open","open","closed",1,1
"Henriettea succosa (Aubl.) DC.",0.84,0.16,"closed","closed","closed",0,1
"Oenothera flava (A.Nelson) Garrett",0.54,0.46,"closed","open","closed",1,1
"Paspalum malacophyllum Trin.",0.3,0.7,"open","open","open",1,1
"Euterpe oleracea Mart.",0.86,0.14,"closed","closed","closed",0,1
"Allium prattii C.H.Wright",0.65,0.35,"closed","closed","closed",1,1
"Comocladia mayana Atha, J.D.Mitch. & Pell",1,0,"closed","closed","closed",0,1
"Streptocarpus glandulosissimus Engl.",0.72,0.28,"closed","closed","closed",1,1
"Bactris maraja Mart.",0.97,0.03,"closed","closed","closed",0,1
"Tabernanthe iboga Baill.",0.72,0.28,"closed","closed","closed",1,1
"Aristida longespica Poir.",0.65,0.35,"closed","closed","closed",1,1
"Miconia spinulosa Naudin",0.84,0.16,"closed","closed","closed",0,1
"Quercus magnoliifolia Née",0.95,0.05,"closed","closed","closed",0,1
"Elymus virginicus var. virginicus",0.53,0.47,"closed","open","closed",1,1
"Salvia hispanica L.",0.95,0.05,"closed","closed","closed",0,1
"Anubias barteri Schott",0.95,0.05,"closed","closed","closed",0,1
"Inga litoralis N.Zamora",1,0,"closed","closed","closed",0,1
"Cryosophila stauracantha (Heynh.) R.J.Evans",1,0,"closed","closed","closed",0,1
"Juglans cinerea L.",0.91,0.09,"closed","closed","closed",0,1
"Geonoma epetiolata H.E.Moore",1,0,"closed","closed","closed",0,1
"Solanum nitidum Ruiz & Pav.",0.26,0.74,"open","open","open",1,1
"Eragrostis lugens Nees",0.37,0.63,"open","open","open",1,1
"Muhlenbergia gypsophila C.Reeder & Reeder",0.64,0.36,"closed","closed","closed",1,1
"Muhlenbergia villiflora Hitchc.",0.06,0.94,"open","open","open",1,0
"Reinhardtia koschnyana (H.Wendl. & Dammer) Burret",1,0,"closed","closed","closed",0,1
"Muhlenbergia montana (Nutt.) Hitchc.",0.81,0.19,"closed","closed","closed",0,1
"Clidemia heterophylla (Desr.) Gleason",1,0,"closed","closed","closed",0,1
"Carex muskingumensis Schwein.",0.52,0.48,"closed","open","closed",1,1
"Carex scoparia Torr.",1,0,"closed","closed","closed",0,1
"Henriettea tuberculosa (Donn.Sm.) L.O.Williams",0.99,0.01,"closed","closed","closed",0,1
"Mandevilla myriophyllum (Taub.) Woodson",0,1,"open","open","open",1,0
"Blakea maurofernandeziana (Cogn.) Penneys & Almeda",0.96,0.04,"closed","closed","closed",0,1
"Ruellia breedlovei T.F.Daniel",1,0,"closed","closed","closed",0,1
"Solanum violaceimarmoratum Bitter",0.67,0.33,"closed","closed","closed",1,1
"Trichilia surinamensis (Miq.) C.DC.",0.97,0.03,"closed","closed","closed",0,1
"Trichilia poeppigii C.DC.",0.97,0.03,"closed","closed","closed",0,1
"Ruellia haenkeana (Nees) Wassh.",0.93,0.07,"closed","closed","closed",0,1
"Arthrostemma primaevum Almeda",1,0,"closed","closed","closed",0,1
"Temnadenia odorifera (Vell.) J.F.Morales",0.76,0.24,"closed","closed","closed",0,1
"Inga pruriens Poepp.",1,0,"closed","closed","closed",0,1
"Tepuia cardonae A.C.Sm.",0.8,0.2,"closed","closed","closed",0,1
"Inga stenoptera Benth.",0.92,0.08,"closed","closed","closed",0,1
"Nolana gayana (Gaudich.) Koch",0,1,"open","open","open",1,0
"Nolana crassulifolia Poepp.",0.1,0.9,"open","open","open",1,0
"Nolana pilosa I.M.Johnst.",0,1,"open","open","open",1,0
"Nolana cerrateana Ferreyra",0,1,"open","open","open",1,0
"Nolana pallida I.M.Johnst.",0,1,"open","open","open",1,0
"Ctenium concinnum Nees",0.43,0.57,"open","open","closed",1,1
"Zygia unifoliolata (Benth.) Pittier",0.82,0.18,"closed","closed","closed",0,1
"Solanum rudepannum Dunal",0.93,0.07,"closed","closed","closed",0,1
"Festuca argentina (Speg.) Parodi",0.12,0.88,"open","open","open",1,0
"Bulbophyllum humblotii Rolfe",0.8,0.2,"closed","closed","closed",0,1
"Begonia urubambensis Tebbitt",1,0,"closed","closed","closed",0,1
"Solanum glutinosum Dunal",0.54,0.46,"closed","open","closed",1,1
"Sacciolepis angustissima (Hochst. ex Steud.) Kuhlm.",0.37,0.63,"open","open","open",1,1
"Setaria paucifolia (Morong) Lindm.",0.4,0.6,"open","open","closed",1,1
"Barbacenia celiae Maguire",0.4,0.6,"open","open","closed",1,1
"Eriotheca ruizii (K.Schum.) A.Robyns",0.81,0.19,"closed","closed","closed",0,1
"Arundinella berteroniana (Schult.) Hitchc. & Chase",0.96,0.04,"closed","closed","closed",0,1
"Begonia froebelii A.DC.",1,0,"closed","closed","closed",0,1
"Gustavia serrata S.A.Mori",1,0,"closed","closed","closed",0,1
"Leandra secundiflora (DC.) Cogn.",1,0,"closed","closed","closed",0,1
"Ruellia hygrophila Mart.",0.14,0.86,"open","open","open",1,0
"Tabernaemontana coffeoides Bojer ex A.DC.",0.7,0.3,"closed","closed","closed",1,1
"Minaria acerosa (Mart.) T.U.P.Konno & Rapini",0.18,0.82,"open","open","open",1,0
"Lycianthes asarifolia (Kunth & Bouché) Bitter",0.64,0.36,"closed","closed","closed",1,1
"Capsicum chacoense Hunz.",0.12,0.88,"open","open","open",1,0
"Columnea minutiflora L.P.Kvist & L.E.Skog",1,0,"closed","closed","closed",0,1
"Drymonia rhodoloma Wiehler",1,0,"closed","closed","closed",0,1
"Couepia guianensis Aubl.",0.94,0.06,"closed","closed","closed",0,1
"Copernicia alba Morong",0.12,0.88,"open","open","open",1,0
"Bellucia spruceana (Benth. ex Triana) J.F.Macbr.",1,0,"closed","closed","closed",0,1
"Mauritia flexuosa L.f.",0.73,0.27,"closed","closed","closed",1,1
"Panicum prionitis Nees",0.3,0.7,"open","open","open",1,1
"Croton axillaris Müll.Arg.",0.86,0.14,"closed","closed","closed",0,1
"Pentopetia grevei (Baill.) Venter",0.21,0.79,"open","open","open",1,0
"Myrcianthes pseudomato (D.Legrand) McVaugh",0.79,0.21,"closed","closed","closed",0,1
"Graffenrieda rotundifolia (Humb. & Bonpl.) DC.",0.33,0.67,"open","open","open",1,1
"Marcetia harleyi Wurdack",0.27,0.73,"open","open","open",1,1
"Meriania rigida (Benth.) Triana",1,0,"closed","closed","closed",0,1
"Miconia simplex Triana",0.96,0.04,"closed","closed","closed",0,1
"Miconia pulvinata Gleason",1,0,"closed","closed","closed",0,1
"Inga ornata Kunth",1,0,"closed","closed","closed",0,1
"Solanum rhytidoandrum Sendtn.",0.44,0.56,"open","open","closed",1,1
"Tylophora sylvatica Decne.",0.68,0.32,"closed","closed","closed",1,1
"Morella salicifolia (A.Rich.) Verdc. & Polhill",0.79,0.21,"closed","closed","closed",0,1
"Andesanthus lepidotus (Humb. & Bonpl.) P.J.F.Guim. & Michelang.",1,0,"closed","closed","closed",0,1
"Arthrostemma parvifolium Cogn.",1,0,"closed","closed","closed",0,1
"Ossaea cucullata Gleason",1,0,"closed","closed","closed",0,1
"Croton andinus Müll.Arg.",0.3,0.7,"open","open","open",1,1
"Secamone tenuifolia Decne.",0.57,0.43,"closed","open","closed",1,1
"Inga spectabilis (Vahl) Willd.",0.93,0.07,"closed","closed","closed",0,1
"Gustavia macarenensis Philipson",1,0,"closed","closed","closed",0,1
"Miconia pyrifolia Naudin",0.85,0.15,"closed","closed","closed",0,1
"Miconia astroplocama Donn.Sm.",0.98,0.02,"closed","closed","closed",0,1
"Zygia cataractae (Kunth) L.Rico",0.81,0.19,"closed","closed","closed",0,1
"Fuchsia thymifolia Kunth",0.95,0.05,"closed","closed","closed",0,1
"Dictyanthus parviflorus Hemsl.",0.97,0.03,"closed","closed","closed",0,1
"Wettinia maynensis Spruce",1,0,"closed","closed","closed",0,1
"Columnea sanguinea (Pers.) Hanst.",0.95,0.05,"closed","closed","closed",0,1
"Juanulloa mexicana (Schltdl.) Miers",0.98,0.02,"closed","closed","closed",0,1
"Besleria formosa C.V.Morton",0.92,0.08,"closed","closed","closed",0,1
"Begonia foliosa Kunth",0.96,0.04,"closed","closed","closed",0,1
"Croton pseudoniveus Lundell",0.95,0.05,"closed","closed","closed",0,1
"Miconia collatata Wurdack",0.83,0.17,"closed","closed","closed",0,1
"Brachyotum fictum Wurdack",0.5,0.5,"closed","open","closed",1,1
"Brachyotum fraternum Wurdack",0,1,"open","open","open",1,0
"Dactyladenia bellayana (Baill.) Prance & F.White",0.9,0.1,"closed","closed","closed",0,1
"Senegalia loretensis (J.F.Macbr.) Seigler & Ebinger",0.82,0.18,"closed","closed","closed",0,1
"Siphocampylus werdermannii E.Wimm.",0.79,0.21,"closed","closed","closed",0,1
"Protium puncticulatum J.F.Macbr.",1,0,"closed","closed","closed",0,1
"Drymonia foliacea (Rusby) Wiehler",1,0,"closed","closed","closed",0,1
"Catostemma fragrans Benth.",1,0,"closed","closed","closed",0,1
"Eugenia stipitata McVaugh",1,0,"closed","closed","closed",0,1
"Planodes virginicum (L.) Greene",0.39,0.61,"open","open","open",1,1
"Triolena amazonica (Pilg.) Wurdack",1,0,"closed","closed","closed",0,1
"Desmoncus polyacanthos Mart.",0.91,0.09,"closed","closed","closed",0,1
"Solanum aligerum Schltdl.",0.78,0.22,"closed","closed","closed",0,1
"Cariniana ianeirensis R.Knuth",0.89,0.11,"closed","closed","closed",0,1
"Diastema affine Fritsch",1,0,"closed","closed","closed",0,1
"Polytaenia nuttallii DC.",0.41,0.59,"open","open","closed",1,1
"Graffenrieda miconioides Naudin",1,0,"closed","closed","closed",0,1
"Eulalia villosa (Spreng.) Nees",0.53,0.47,"closed","open","closed",1,1
"Brachyotum microdon (Naudin) Triana",0.64,0.36,"closed","closed","closed",1,1
"Cremastosperma cauliflorum R.E.Fr.",1,0,"closed","closed","closed",0,1
"Protium confusum (Rose) Pittier",0.93,0.07,"closed","closed","closed",0,1
"Parapiptadenia excelsa (Griseb.) Burkart",0.64,0.36,"closed","closed","closed",1,1
"Inga adenophylla Pittier",0.92,0.08,"closed","closed","closed",0,1
"Miconia barbeyana Cogn.",0.98,0.02,"closed","closed","closed",0,1
"Blakea multiflora D.Don",0.93,0.07,"closed","closed","closed",0,1
"Solenophora calycosa Donn.Sm.",1,0,"closed","closed","closed",0,1
"Parinari excelsa Sabine",0.77,0.23,"closed","closed","closed",0,1
"Miconia hondurensis Donn.Sm.",1,0,"closed","closed","closed",0,1
"Orania ravaka Beentje",1,0,"closed","closed","closed",0,1
"Schinus areira L.",0.73,0.27,"closed","closed","closed",1,1
"Ruellia latibracteata D.N.Gibson",1,0,"closed","closed","closed",0,1
"Ficus menabeensis H.Perrier",0.6,0.4,"closed","closed","closed",1,1
"Clidemia sprucei Gleason",1,0,"closed","closed","closed",0,1
"Viburnum seemenii Graebn.",0.92,0.08,"closed","closed","closed",0,1
"Miconia spennerostachya Naudin",0.99,0.01,"closed","closed","closed",0,1
"Humbertioturraea labatii Lescot & Callm.",1,0,"closed","closed","closed",0,1
"Chamaedorea pauciflora Mart.",0.99,0.01,"closed","closed","closed",0,1
"Miconia dumetosa Cogn.",1,0,"closed","closed","closed",0,1
"Bursera discolor Rzed.",1,0,"closed","closed","closed",0,1
"Plagiopetalum esquirolii (H.Lév.) Rehder",1,0,"closed","closed","closed",0,1
"Lysimachia insignis Hemsl.",1,0,"closed","closed","closed",0,1
"Croton yucatanensis Lundell",1,0,"closed","closed","closed",0,1
"Heliconia pogonantha Cufod.",0.97,0.03,"closed","closed","closed",0,1
"Nothofagus betuloides (Mirb.) Oerst.",0.95,0.05,"closed","closed","closed",0,1
"Andropogon fastigiatus Sw.",0.4,0.6,"open","open","closed",1,1
"Leandra grandifolia Cogn.",1,0,"closed","closed","closed",0,1
"Calamagrostis deschampsioides Trin.",0.42,0.58,"open","open","closed",1,1
"Inga cylindrica (Vell.) Mart.",0.71,0.29,"closed","closed","closed",1,1
"Ficus reflexa Thunb.",0.96,0.04,"closed","closed","closed",0,1
"Ficus pertusa Bory ex Miq.",0.92,0.08,"closed","closed","closed",0,1
"Eschweilera decolorans Sandwith",0.97,0.03,"closed","closed","closed",0,1
"Bulbophyllum cardiobulbum Bosser",1,0,"closed","closed","closed",0,1
"Protium gallosum Daly",1,0,"closed","closed","closed",0,1
"Diplarche multiflora Hook.fil. & Thomson",0.83,0.17,"closed","closed","closed",0,1
"Rauvolfia mannii Stapf",0.8,0.2,"closed","closed","closed",0,1
"Croton sonorae Torr.",0.26,0.74,"open","open","open",1,1
"Solanum rovirosanum Donn.Sm.",0.96,0.04,"closed","closed","closed",0,1
"Maranthes glabra (Oliv.) Prance",0.81,0.19,"closed","closed","closed",0,1
"Secamone ecoronata Klack.",0.33,0.67,"open","open","open",1,1
"Poa arida Vasey",0.2,0.8,"open","open","open",1,0
"Quercus mexicana Bonpl.",0.81,0.19,"closed","closed","closed",0,1
"Clidemia epiphytica (Triana) Cogn.",0.99,0.01,"closed","closed","closed",0,1
"Conostegia tenuifolia Donn.Sm.",1,0,"closed","closed","closed",0,1
"Bulbophyllum leandrianum H.Perrier",1,0,"closed","closed","closed",0,1
"Quivisianthe papinae Baill.",0.35,0.65,"open","open","open",1,1
"Oenothera affinis Cambess.",0.33,0.67,"open","open","open",1,1
"Stipa pseudoichu Caro",0.75,0.25,"closed","closed","closed",0,1
"Axinaea affinis (Naudin) Cogn.",0.95,0.05,"closed","closed","closed",0,1
"Ozoroa obovata (Oliv.) R.Fern. & A.Fern.",0.68,0.32,"closed","closed","closed",1,1
"Macleania insignis Mart. & Galeotti",1,0,"closed","closed","closed",0,1
"Bulbophyllum coriophorum Ridl.",1,0,"closed","closed","closed",0,1
"Carex catharinensis Boeckeler",0.69,0.31,"closed","closed","closed",1,1
"Miconia sclerophylla Triana",0.22,0.78,"open","open","open",1,0
"Asclepias ovalifolia Decne.",0.33,0.67,"open","open","open",1,1
"Solanum triflorum Nutt.",0.22,0.78,"open","open","open",1,0
"Aristida jorullensis Kunth",0.95,0.05,"closed","closed","closed",0,1
